created_at,text,dale_chall_readability_score,flesch_kincaid,automated_readability,flesch_reading,sentence_count,coleman_liau_index,based_on_all_algorithms
Thu Apr 30 20:48:13 +0000 2020,"Demi joined for a new episode of his podcast, Wild Ride Watch it here",6.59,2.9,4.4,99.57,1,4.92,4th and 5th grade
Fri Apr 24 18:15:48 +0000 2020,ILoveMe Tik Tok compilation video,7.04,5.2,8.4,66.4,1,11.92,7th and 8th grade
Thu Apr 23 18:49:15 +0000 2020,"5 for every item sold will provide crucial gear to frontline workers, pledging up to 125,000 now through June 30 supporting the COVID 19 Solidarity Response Fund for the World Health Organization, powered by the United Nations Foundation",10.51,18.1,22.3,32.91,1,13.36,22nd and 23rd grade
Thu Apr 23 18:49:08 +0000 2020,Feel invincible and strong with Demi4Fabletics,9.2,10.4,13.7,31.55,1,18.78,9th and 10th grade
Wed Apr 22 21:22:19 +0000 2020,ILoveMe ImReady,11.63,2.9,12.5,77.91,1,10.0,-1th and 0th grade
Wed Apr 22 20:30:01 +0000 2020,"Demi made an playlist with Alexa, play the Sam and Demi At Home playlist on",5.43,3.2,5.2,98.55,1,5.33,5th and 6th grade
Tue Apr 21 18:14:01 +0000 2020,Demi amp have taken over the cover for Today's Top Hits playlist and ImReady has landed at 1 Listen on now,7.69,7.9,8.4,75.54,1,6.21,7th and 8th grade
Tue Apr 21 17:57:08 +0000 2020,ImReady lyric video,9.05,0.9,6.8,93.81,1,7.32,0th and 1st grade
Mon Apr 20 19:08:40 +0000 2020,"Demi has launched the TheMentalHealthFund to support organizations who are meeting the increased demand in crisis counseling due to COVID 19. Help is fast, free and available 24 7.",9.26,8.9,10.5,56.76,2,11.94,9th and 10th grade
Thu Apr 16 23:11:19 +0000 2020,IMREADY out now with,7.78,1.3,0.6,92.8,1,1.45,0th and 1st grade
Thu Apr 16 23:02:52 +0000 2020,IMREADY music video out now with,6.57,2.1,2.8,90.77,1,5.27,1st and 2nd grade
Thu Apr 16 22:42:35 +0000 2020,Join the ImReady livestream with Demi amp Sam now,7.59,2.1,4.5,96.18,1,7.39,3rd and 4th grade
Thu Apr 16 19:15:47 +0000 2020,IMREADY Join the live chat at 3 45pm PT 11 45pm BST,5.55,2.1,0.3,101.6,1,1.15,4th and 5th grade
Thu Apr 16 17:02:42 +0000 2020,ImReady TeamDemi TeamSam SamAndDemi,19.62,13.1,18.3,8.2,1,23.2,12th and 13th grade
Thu Apr 16 15:53:47 +0000 2020,Tune in tonight to DisneyFamilySingalong at 8 7c on to see Demi perform A Dream is a Wish Your Heart Makes with,6.88,8.3,8.8,74.53,1,6.44,6th and 7th grade
Wed Apr 15 21:20:05 +0000 2020,Tomorrow Join Demi amp for an ImReady livestream at 3 45pm PT 6 45pm ET 11.45pm BST Drop your questions here,6.93,6.8,8.8,84.0,1,6.73,6th and 7th grade
Wed Apr 15 17:57:10 +0000 2020,ImReady music video with will premiere THIS THURSDAY at 4pm PT 7pm ET 12am BST Set a reminder,7.16,6.8,7.4,78.59,1,6.9,6th and 7th grade
Tue Apr 14 20:06:52 +0000 2020,ImReady April 17,9.05,0.9,2.1,93.81,1,1.52,0th and 1st grade
Mon Apr 13 15:11:47 +0000 2020,I'm Ready with out April 17th,0.3,-1.5,0.4,116.15,1,1.38,-1th and 0th grade
